Region,Year,Population
Bangkok,2013,5679906
Central ,2013,16294887
Bangkok,2014,5689268
Central ,2014,16449447
Bangkok,2015,5648978
Central ,2015,16533566
Bangkok,2016,5598873
Central ,2016,16590292
Bangkok,2017,5586320
Central ,2017,16707028
Northern,2013,11814265
North-eastern,2013,21736455
Southern ,2013,9095789
Northern,2014,11836304
North-eastern,2014,21810332
Southern ,2014,9169962
Northern,2015,11758421
North-eastern,2015,21861423
Southern ,2015,9225013
Northern,2016,11668300
North-eastern,2016,21891425
Southern ,2016,9264605
Northern,2017,11670987
North-eastern,2017,21925925
Southern ,2017,9314537
